model,coef,p,attenuation_pct
M1,-0.00651726018018739,8.355558769759001e-05,
M2a,-0.10918072020447056,0.00020972802271706074,
M2b_did,-0.00743008190368899,0.6714454680914952,93.19469418247641
M2b_stress,-0.01066646586870823,2.9007590332712876e-17,
